split,auroc,auprc,sensitivity,specificity,accuracy
train,0.9822387508174698,0.7463745033853834,0.4398563734290844,0.9983622004846092,0.9847436851551897
val,0.5526275374202679,0.015326017259759097,0.0,0.992289976970061,0.9777997039960533
test,0.7800786929414567,0.009815623499685703,0.0,0.9992442849045909,0.994920993227991
