step,data_ms,h2d_ms,fwd_ms,bwd_ms,step_ms,loss
50,275.1692860201001,0.18040597438812256,40.451738042756915,40.071605956181884,355.87303599342704,0.13395854830741882
100,270.9175610123202,0.17894898541271687,40.48003202769905,39.98607297427952,351.5626149997115,0.12092344462871552
150,265.96930333102745,0.17472333274781704,40.466680685058236,39.90444464919468,346.51515199802816,0.10605796426534653
200,266.92419949220493,0.17376000294461846,40.46358101069927,39.84982749214396,347.4113679979928,0.09584406763315201
50,259.10110998898745,0.1840400043874979,40.39837999269366,39.85220801085234,339.53573799692094,0.07676485180854797
100,260.17405400052667,0.18203301820904016,40.42133496142924,39.821413019672036,340.598834999837,0.08370919525623322
150,258.2633640027295,0.1809733361005783,40.42871862960359,39.84278469656905,338.71584066500264,0.07181931287050247
200,256.5542359952815,0.18055649241432548,40.44828548328951,39.72330352757126,336.9063814985566,0.07328510284423828
50,253.84076801128685,0.18695401027798653,40.425451984629035,40.22566999308765,334.6788439992815,0.08149059116840363
100,255.44012300670147,0.18489399924874306,40.4370669927448,39.985970999114215,336.04805499780923,0.07577048987150192
150,257.48604199228186,0.18344400450587273,40.446919333189726,39.94178866967559,338.05819399965304,0.07270067930221558
200,255.55937150726095,0.18312999745830894,40.45627700397745,39.963642491493374,336.1624210001901,0.06470151245594025
50,259.70934798009694,0.18264198675751686,40.42221600189805,40.04142602905631,340.3556319978088,0.06432819366455078
100,262.4762059934437,0.1810059929266572,40.44969399925321,39.92614201270044,343.03304799832404,0.05723635107278824
150,262.9096933236967,0.17864267341792583,40.44171132457753,39.88945401273668,343.4195013344288,0.06065540388226509
200,262.43184349732473,0.17995250644162297,40.441858989652246,39.86322800628841,342.916882999707,0.05971607193350792
50,264.7976459749043,0.18289998173713684,40.42687405832112,39.95160998776555,345.3590300027281,0.0684618279337883
100,257.8865219745785,0.18539499957114458,40.425837049260736,40.05189697723836,338.54965100064874,0.06024385988712311
150,256.0222106582175,0.1843839759627978,40.46113271576663,39.95137865034243,336.6191060002893,0.05323370546102524
200,260.47082100296393,0.18178447149693966,40.456204558722675,39.93337596766651,341.04218600085005,0.06827964633703232
50,254.9021660257131,0.17953399568796158,40.43656397610903,39.76090400479734,335.2791680023074,0.05986855551600456
100,257.1215210109949,0.18333199433982372,40.487826988101006,39.84696100465953,337.6396409980953,0.042916301637887955
150,253.74025533907115,0.1820519876976808,40.46842799521983,39.90815601001183,334.2988913320005,0.05870712548494339
200,254.08014199929312,0.17978499410673976,40.46378699829802,39.84572400804609,334.56943799974397,0.05881471186876297
50,251.3051339890808,0.18054800108075142,40.39125001989305,39.82437799684703,331.7013100069016,0.061384111642837524
100,253.79077699035406,0.17803398426622152,40.436666030436754,39.91789999883622,334.32337700389326,0.053184762597084045
150,256.4593599953999,0.17611198127269745,40.4354833625257,39.831283328433834,336.90223866763216,0.055559173226356506
200,256.1870569968596,0.17582898493856192,40.44102502753958,39.87530699232593,336.6792180016637,0.05032195895910263
50,246.09367002733052,0.1766980066895485,40.425869980826974,40.08052998222411,326.77676799707115,0.04057515412569046
100,247.8671220364049,0.17221798188984394,40.451296009123325,39.9159479746595,328.4065840020776,0.05073726922273636
150,251.85670469887555,0.17183532007038593,40.428315326571465,39.912149322529636,332.369004668047,0.057220395654439926
200,253.0674380203709,0.17159948591142893,40.44165500206873,39.91159999277443,333.5922925011255,0.057021163403987885
50,252.55459402687848,0.18881394527852535,40.437110029160976,39.85955600626767,333.04007400758564,0.05314874276518822
100,255.78447103034705,0.183773972094059,40.4646610096097,39.809330990538,336.2422370025888,0.04619213566184044
150,257.8329260150592,0.1809633057564497,40.464642007524766,39.86875067154566,338.34728199988604,0.04566812515258789
200,256.99772651540115,0.17965046921744943,40.469017007853836,39.8881780076772,337.53457200014964,0.03838379681110382
50,248.39537396095693,0.17400601878762245,40.424498012289405,39.9260080140084,328.91988600604236,0.05216845124959946
100,251.37079699896276,0.1774750044569373,40.40345198009163,39.90665901917964,331.85838300269097,0.03514566272497177
150,252.0558506747087,0.1803440103928248,40.46678464549283,39.88932067217926,332.5923000027736,0.037499457597732544
200,250.29069850454107,0.18318400718271732,40.474631485994905,39.91561350412667,330.86412750184536,0.043004490435123444
50,252.16595801524818,0.1891079917550087,40.4137400072068,39.78984398767352,332.5586500018835,0.036769088357686996
100,248.77876200247556,0.18627698998898268,40.449847006239,39.736545998603106,329.15143199730664,0.04887154698371887
150,251.39042200210193,0.18469468069573244,40.44118533221384,39.83543065066139,331.8517326656729,0.04457581043243408
200,251.87263449886814,0.1844290178269148,40.44795299414545,39.86077048815787,332.3657869989984,0.05028047785162926
50,60.8209839835763,0.30701001174747944,40.85814201273024,40.61171199195087,142.5978480000049,0.13590623438358307
100,44.75675101391971,0.3172300010919571,40.78130498994142,40.563797992654145,126.41908399760723,0.12053361535072327
150,39.1552733288457,0.32847868589063484,40.74002065074941,40.512338668728866,120.73611133421461,0.11110859364271164
200,36.403352497145534,0.3312375070527196,40.756409491878,40.498869004659355,117.98986850073561,0.10658378899097443
50,46.64000602439046,0.410185931250453,40.64597202464938,40.472672022879124,128.16883600316942,0.08121730387210846
100,39.32270999066532,0.40114895440638065,40.5944290291518,40.591633026488125,120.90992100071162,0.0945851057767868
150,37.23580599762499,0.42995329946279526,40.58203535154462,40.638644018520914,118.88643866715331,0.08591505885124207
200,36.44056949298829,0.4157734801992774,40.62392299761996,40.68325303029269,118.16351900110021,0.08187709748744965
50,40.909712025895715,0.448268037289381,40.45899596065283,40.67778398282826,122.49476000666618,0.07387574762105942
